,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
84,85,DRC,b'9706',b'30.0',b'2430',b'3.0',b'8705.0',b'0.0',b'758',b'0.0',b'108.0',b'3.0'
85,86,Lebanon,b'9337',b'456.0',b'1050',b'2.0',b'2809.0',b'85.0',b'6423',b'66.0',b'1369.0',b'15.0'
86,87,Malaysia,b'9212',b'12.0',b'1250',b'0.0',b'8876.0',b'17.0',b'211',b'8.0',b'284.0',b'4.0'
87,88,French Guiana,b'8622',b'34.0',b'530',b'0.0',b'7985.0',b'92.0',b'584',b'17.0',b'28779.0',b'177.0'
88,89,Guinea,b'8620',b'138.0',b'510',b'0.0',b'7472.0',b'108.0',b'1097',b'24.0',b'654.0',b'4.0'
89,90,Gabon,b'8225',b'0.0',b'510',b'0.0',b'6277.0',b'0.0',b'1897',b'1.0',b'3685.0',b'23.0'
90,91,Libya,b'8172',b'0.0',b'1530',b'0.0',b'933.0',b'0.0',b'7086',b'0.0',b'1187.0',b'22.0'
91,92,Tajikistan,b'8099',b'34.0',b'640',b'0.0',b'6897.0',b'42.0',b'1138',b'0.0',b'847.0',b'7.0'
92,93,Haiti,b'7879',b'0.0',b'1960',b'0.0',b'5235.0',b'0.0',b'2448',b'0.0',b'690.0',b'17.0'
93,94,Finland,b'7752',b'21.0',b'3340',b'1.0',b'7050.0',b'0.0',b'368',b'0.0',b'1399.0',b'60.0'
94,95,Albania,b'7499',b'119.0',b'2300',b'2.0',b'3816.0',b'22.0',b'3453',b'15.0',b'2606.0',b'80.0'
95,96,Luxembourg,b'7458',b'0.0',b'1230',b'0.0',b'6500.0',b'0.0',b'835',b'3.0',b'11890.0',b'196.0'
96,97,Greece,b'7222',b'147.0',b'2300',b'2.0',b'3804.0',b'0.0',b'3188',b'23.0',b'693.0',b'22.0'
97,98,Mauritania,b'6701',b'0.0',b'1570',b'0.0',b'5985.0',b'0.0',b'559',b'3.0',b'1437.0',b'34.0'
98,99,Croatia,b'6656',b'85.0',b'1660',b'0.0',b'5254.0',b'34.0',b'1236',b'11.0',b'1623.0',b'40.0'
99,100,Maldives,b'5785',b'0.0',b'220',b'0.0',b'3349.0',b'0.0',b'2414',b'12.0',b'10679.0',b'41.0'
100,101,Djibouti,b'5369',b'0.0',b'590',b'0.0',b'5202.0',b'0.0',b'108',b'0.0',b'5424.0',b'60.0'
101,102,Zimbabwe,b'5308',b'47.0',b'1350',b'3.0',b'3848.0',b'1756.0',b'1325',b'0.0',b'356.0',b'9.0'
